Station,Time,Longitude,Latitude,Speed,UU,VV,Bearing,Pressure,Mh,Mhopp
AC-041,2014-07-15 23:10,120.86900, 14.09925, 57.13,-69.59,  5.15, 94.23,97553.95,  1.00000,  1.00906
AC-042,2014-07-15 23:00,120.86825, 14.09732, 56.75,-68.41, -1.53, 88.72,98086.86,  1.00000,  1.01199
AC-043,2014-07-15 23:00,120.86876, 14.09371, 59.96,-68.41, -1.53, 88.72,98086.86,  1.00000,  1.00199
AC-044,2014-07-15 23:00,120.86917, 14.09085, 60.76,-68.41, -1.53, 88.72,98086.86,  1.02915,  1.02085
AC-045,2014-07-15 23:00,120.86904, 14.08786, 56.79,-68.12, -2.28, 88.08,97837.70,  1.00957,  1.00043
AC-046,2014-07-15 23:05,120.86891, 14.08494, 45.75,-68.57,  0.63, 90.53,97558.80,  1.00988,  1.04000
AC-047,2014-07-15 23:05,120.86989, 14.08207, 80.94,-68.57,  0.63, 90.53,97558.80,  1.34591,  1.04977
AC-048,2014-07-16 00:20,120.87099, 14.07892, 77.22,  0.77, 66.20,180.67,97482.02,  1.19370,  1.01148
AC-049,2014-07-15 23:00,120.87277, 14.07626, 78.10,-68.75,  2.92, 92.43,97805.69,  1.48405,  1.24649
AC-050,2014-07-15 23:35,120.87463, 14.07254, 90.29,-47.12, 44.27,133.21,96532.00,  1.58531,  1.27286
AC-051,2014-07-15 23:35,120.87578, 14.07028, 85.28,-47.12, 44.27,133.21,96532.00,  1.63770,  1.51325
AC-052,2014-07-16 00:10,120.87662, 14.06761, 85.09,  0.14, 65.69,180.12,97302.09,  1.48976,  1.57905
AC-053,2014-07-16 00:10,120.87893, 14.06349, 78.63,  0.14, 65.69,180.12,97302.09,  1.61929,  1.66943
AC-054,2014-07-15 23:00,120.87999, 14.05915, 84.02,-67.93,  2.53, 92.13,97534.35,  1.25090,  1.26810
AC-055,2014-07-15 23:30,120.88003, 14.05732, 66.20,-48.03, 39.11,129.16,96370.39,  1.27728,  1.30792
AC-056,2014-07-16 00:10,120.87951, 14.05244, 82.46,  0.14, 65.69,180.12,97302.09,  1.54970,  1.34008
AC-057,2014-07-16 00:15,120.87860, 14.05106, 94.37,  3.60, 65.85,183.13,97411.60,  1.62470,  1.39566
AC-058,2014-07-15 21:55,120.87454, 14.04514, 64.97,-55.86,-14.22, 75.72,99915.38,  1.53605,  1.06826
AC-059,2014-07-16 00:25,120.87350, 14.04324, 81.06, 14.78, 64.39,192.93,97681.58,  1.41542,  1.36254
AC-060,2014-07-16 00:25,120.87038, 14.03845, 72.97, 14.78, 64.39,192.93,97681.58,  1.37575,  1.44818
AC-061,2014-07-16 00:35,120.86825, 14.03518, 62.87, 19.40, 61.96,197.39,97630.69,  1.01159,  1.19455
AC-062,2014-07-15 22:40,120.86661, 14.03238, 71.19,-62.59,  0.29, 90.27,98690.86,  1.13965,  1.00094
AC-063,2014-07-15 22:35,120.86461, 14.02911, 61.46,-61.47,  0.47, 90.44,98827.10,  1.34776,  1.12873
AC-064,2014-07-15 22:50,120.86252, 14.02567, 75.41,-64.65, -4.42, 86.09,97736.11,  1.41131,  1.36174
AC-065,2014-07-15 22:50,120.86154, 14.02130, 60.33,-64.65, -4.42, 86.09,97736.11,  1.38566,  1.01826
AC-066,2014-07-16 00:25,120.86093, 14.01846, 67.87, 21.56, 61.45,199.33,97521.61,  1.27007,  1.22111
AC-067,2014-07-16 00:25,120.86032, 14.01580, 62.60, 21.56, 61.45,199.33,97521.61,  1.13148,  1.05133
AC-068,2014-07-16 00:30,120.85969, 14.01292, 62.36, 22.97, 60.92,200.66,97628.17,  1.07327,  1.00000
AC-069,2014-07-16 00:30,120.85894, 14.00948, 59.13, 27.62, 59.01,205.08,97750.73,  1.18820,  1.00000
AC-070,2014-07-16 00:20,120.85821, 14.00765, 64.32, 24.57, 60.22,202.20,97505.56,  1.08878,  1.17737
AC-071,2014-07-15 22:45,120.85686, 14.00426, 58.25,-63.87, -3.86, 86.54,97886.56,  1.26307,  1.02769
AC-072,2014-07-16 00:30,120.85510, 14.00229, 60.20, 27.62, 59.01,205.08,97750.73,  1.05459,  1.00000
AC-073,2014-07-16 00:30,120.85299, 13.99994, 59.16, 27.62, 59.01,205.08,97750.73,  1.01443,  1.00000
AC-074,2014-07-15 22:30,120.85101, 13.99774, 59.86,-60.62,  0.21, 90.20,98944.78,  1.08000,  1.00000
AC-075,2014-07-16 00:30,120.84903, 13.99555, 55.92, 29.73, 56.95,207.57,97520.70,  1.04937,  1.00000
AC-076,2014-07-16 00:30,120.84704, 13.99334, 57.77, 29.73, 56.95,207.57,97520.70,  1.01000,  1.00000
AC-077,2014-07-16 00:30,120.84538, 13.99150, 57.08, 29.73, 56.95,207.57,97520.70,  1.08450,  1.00000
AC-078,2014-07-16 00:30,120.84365, 13.98960, 62.79, 34.01, 54.76,211.84,97675.19,  1.02924,  1.00000
AC-079,2014-07-15 22:40,120.84200, 13.98776, 59.28,-61.76, -7.67, 82.92,98137.89,  1.01259,  1.06944
AC-080,2014-07-16 00:30,120.83956, 13.98505, 59.67, 34.01, 54.76,211.84,97675.19,  1.09661,  1.03216
AC-081,2014-07-16 00:25,120.83785, 13.98315, 56.59, 33.09, 55.30,210.90,97556.52,  1.02881,  1.00000
AC-082,2014-07-16 00:30,120.83565, 13.98070, 59.00, 34.01, 54.76,211.84,97675.19,  1.07123,  1.00877
AC-083,2014-07-15 22:40,120.83428, 13.97895, 69.09,-61.76, -7.67, 82.92,98137.89,  1.00157,  1.17944
AC-084,2014-07-16 00:25,120.83292, 13.97720, 55.32, 33.09, 55.30,210.90,97556.52,  1.05313,  1.02060
AC-085,2014-07-16 00:30,120.83087, 13.97459, 55.25, 34.01, 54.76,211.84,97675.19,  1.01000,  1.00000
AC-086,2014-07-16 00:30,120.82872, 13.97187, 54.96, 36.33, 52.02,214.93,97461.27,  1.00895,  1.00000
AC-087,2014-07-16 00:30,120.82596, 13.96921, 55.30, 40.09, 49.69,218.90,97645.70,  1.11000,  1.00000
AC-088,2014-07-16 00:30,120.82354, 13.96689, 57.66, 40.09, 49.69,218.90,97645.70,  1.05407,  1.00000
AC-089,2014-07-16 00:30,120.82089, 13.96373, 57.36, 40.09, 49.69,218.90,97645.70,  1.13593,  1.06915
AC-090,2014-07-16 00:30,120.81948, 13.96210, 64.26, 40.09, 49.69,218.90,97645.70,  1.15372,  1.01628
AC-091,2014-07-16 00:30,120.81740, 13.95964, 54.32, 40.09, 49.69,218.90,97645.70,  1.04729,  1.00000
AC-092,2014-07-16 00:30,120.81557, 13.95608, 55.22, 40.09, 49.69,218.90,97645.70,  1.12593,  1.00000
AC-093,2014-07-16 00:30,120.81376, 13.95256, 54.22, 40.09, 49.69,218.90,97645.70,  1.02407,  1.00271
AC-094,2014-07-16 00:25,120.81245, 13.94936, 57.31, 42.78, 47.74,221.86,97714.23,  1.07209,  1.00000
AC-095,2014-07-16 00:25,120.81133, 13.94669, 54.52, 42.78, 47.74,221.86,97714.23,  1.02418,  1.00000
AC-096,2014-07-16 00:25,120.81050, 13.94465, 53.21, 42.78, 47.74,221.86,97714.23,  1.02930,  1.00000
AC-097,2014-07-16 00:30,120.80868, 13.94274, 51.52, 45.59, 43.98,226.03,97664.55,  1.00000,  1.00000
AC-098,2014-07-16 00:30,120.80663, 13.94060, 50.37, 45.59, 43.98,226.03,97664.55,  1.00000,  1.00000
AC-099,2014-07-16 00:30,120.80446, 13.93832, 55.49, 45.59, 43.98,226.03,97664.55,  1.00000,  1.00000
AC-100,2014-07-16 00:30,120.80279, 13.93657, 55.07, 45.59, 43.98,226.03,97664.55,  1.00000,  1.00000
AC-101,2014-07-16 00:30,120.80041, 13.93543, 55.20, 45.59, 43.98,226.03,97664.55,  1.00000,  1.00000
AC-102,2014-07-16 00:20,120.79799, 13.93429, 57.51, 44.17, 44.43,224.83,97374.38,  1.00000,  1.00000
AC-103,2014-07-16 00:20,120.79462, 13.93344, 56.63, 44.17, 44.43,224.83,97374.38,  1.00000,  1.00000
AC-104,2014-07-16 00:20,120.79201, 13.93304, 54.48, 44.17, 44.43,224.83,97374.38,  1.00000,  1.00000
BS3-080,2014-07-15 23:35,121.05180, 14.44503, 42.45,-51.05, 31.34,121.55,100020.53,  1.00000,  1.00000
BS3-001,2014-07-15 23:35,121.07582, 14.33133, 38.25,-49.97, 40.04,128.70,99731.19,  1.00000,  1.00000
BS3-002,2014-07-15 23:50,121.07552, 14.33204, 37.14,-43.36, 44.27,135.59,99735.45,  1.00000,  1.00000
BS3-003,2014-07-15 23:35,121.07520, 14.33408, 45.89,-49.97, 40.04,128.70,99731.19,  1.00000,  1.00000
BS3-004,2014-07-15 23:35,121.07644, 14.33543, 47.77,-49.97, 40.04,128.70,99731.19,  1.00000,  1.00000
BS3-005,2014-07-15 23:25,121.07566, 14.33611, 50.22,-53.05, 35.81,124.02,99762.94,  1.00000,  1.00000
BS3-006,2014-07-15 23:25,121.07500, 14.33669, 49.71,-53.05, 35.81,124.02,99762.94,  1.00000,  1.00000
BS3-007,2014-07-15 23:30,121.07361, 14.33790, 39.31,-51.70, 38.04,126.35,99742.51,  1.00000,  1.00000
BS3-008,2014-07-15 23:20,121.07235, 14.33899, 46.34,-54.01, 33.13,121.53,99794.93,  1.00000,  1.00000
BS3-009,2014-07-15 23:25,121.07090, 14.34027, 39.53,-53.05, 35.81,124.02,99762.94,  1.00000,  1.00000
BS3-010,2014-07-15 23:30,121.06959, 14.34142, 40.67,-53.23, 36.88,124.72,99690.15,  1.00000,  1.00000
BS3-011,2014-07-15 23:35,121.06807, 14.34275, 41.28,-51.57, 39.04,127.13,99674.11,  1.00000,  1.00000
BS3-012,2014-07-15 23:35,121.06663, 14.34406, 42.04,-51.57, 39.04,127.13,99674.11,  1.00000,  1.00000
BS3-013,2014-07-15 23:40,121.06531, 14.34520, 46.57,-49.63, 40.89,129.49,99666.11,  1.00000,  1.00000
BS3-014,2014-07-15 23:35,121.06403, 14.34633, 41.07,-51.57, 39.04,127.13,99674.11,  1.00000,  1.00000
BS3-015,2014-07-15 23:35,121.06331, 14.34711, 41.70,-51.57, 39.04,127.13,99674.11,  1.00000,  1.00000
BS3-016,2014-07-15 23:25,121.06260, 14.34826, 40.54,-54.49, 34.51,122.35,99715.81,  1.00000,  1.00000
BS3-017,2014-07-15 23:35,121.06186, 14.34954, 48.14,-51.57, 39.04,127.13,99674.11,  1.00000,  1.00000
BS3-018,2014-07-15 23:35,121.06125, 14.35070, 44.85,-51.62, 37.38,125.91,99750.95,  1.00000,  1.00000
BS3-019,2014-07-15 23:35,121.06070, 14.35173, 41.88,-51.62, 37.38,125.91,99750.95,  1.00000,  1.00000
BS3-020,2014-07-16 00:00,121.06014, 14.35273, 43.69,-40.68, 43.84,137.14,99750.87,  1.00000,  1.00000
BS3-021,2014-07-15 23:30,121.05936, 14.35413, 40.74,-53.11, 35.30,123.61,99768.70,  1.00000,  1.00000
BS3-022,2014-07-15 23:35,121.05845, 14.35580, 45.54,-51.62, 37.38,125.91,99750.95,  1.00000,  1.00000
BS3-023,2014-07-15 23:30,121.05753, 14.35747, 42.92,-53.11, 35.30,123.61,99768.70,  1.00000,  1.00000
BS3-024,2014-07-15 23:30,121.05671, 14.35898, 41.05,-53.11, 35.30,123.61,99768.70,  1.00000,  1.00000
BS3-025,2014-07-15 23:30,121.05570, 14.36080, 39.65,-53.11, 35.30,123.61,99768.70,  1.00000,  1.00000
BS3-026,2014-07-15 23:30,121.05502, 14.36206, 39.77,-53.11, 35.30,123.61,99768.70,  1.00000,  1.00000
BS3-027,2014-07-15 23:40,121.05413, 14.36367, 41.56,-49.86, 39.18,128.16,99740.62,  1.00000,  1.00000
BS3-028,2014-07-15 23:35,121.05359, 14.36467, 38.32,-51.62, 37.38,125.91,99750.95,  1.00000,  1.00000
BS3-029,2014-07-15 23:35,121.05282, 14.36607, 37.90,-51.62, 37.38,125.91,99750.95,  1.00000,  1.00000
BS3-030,2014-07-15 23:30,121.05210, 14.36738, 38.11,-53.11, 35.30,123.61,99768.70,  1.00000,  1.00000
BS3-031,2014-07-15 23:30,121.05175, 14.36802, 38.88,-53.11, 35.30,123.61,99768.70,  1.00000,  1.00000
BS3-032,2014-07-15 23:30,121.05107, 14.36925, 37.07,-53.11, 35.30,123.61,99768.70,  1.00000,  1.00000
BS3-033,2014-07-16 00:00,121.05033, 14.37059, 39.10,-41.42, 42.00,135.40,99811.33,  1.00000,  1.00000
BS3-034,2014-07-15 23:35,121.04950, 14.37209, 39.71,-53.00, 34.65,123.18,99777.59,  1.00000,  1.00000
BS3-035,2014-07-15 23:35,121.04813, 14.37463, 36.07,-53.00, 34.65,123.18,99777.59,  1.00000,  1.00000
BS3-036,2014-07-15 23:35,121.04762, 14.37592, 36.20,-53.00, 34.65,123.18,99777.59,  1.00000,  1.00000
BS3-037,2014-07-15 23:35,121.04751, 14.37698, 37.02,-53.00, 34.65,123.18,99777.59,  1.00000,  1.00000
BS3-038,2014-07-15 23:35,121.04747, 14.37866, 38.20,-53.00, 34.65,123.18,99777.59,  1.00000,  1.00000
BS3-039,2014-07-15 23:35,121.04747, 14.38054, 36.59,-53.00, 34.65,123.18,99777.59,  1.00000,  1.00000
BS3-040,2014-07-15 23:40,121.04748, 14.38234, 39.60,-51.47, 36.52,125.36,99761.30,  1.00000,  1.00000
BS3-041,2014-07-15 23:40,121.04748, 14.38409, 38.82,-51.47, 36.52,125.36,99761.30,  1.00000,  1.00000
BS3-042,2014-07-15 23:40,121.04749, 14.38579, 40.66,-51.47, 36.52,125.36,99761.30,  1.00000,  1.00000
BS3-043,2014-07-15 23:35,121.04749, 14.38762, 41.47,-53.00, 34.65,123.18,99777.59,  1.00000,  1.00000
BS3-044,2014-07-15 23:40,121.04750, 14.38925, 40.43,-51.47, 36.52,125.36,99761.30,  1.00000,  1.00000
BS3-045,2014-07-15 23:35,121.04750, 14.39032, 41.00,-52.86, 32.87,121.87,99851.38,  1.00000,  1.00000
BS3-046,2014-07-15 23:35,121.04753, 14.39242, 41.38,-52.86, 32.87,121.87,99851.38,  1.00000,  1.00000
BS3-047,2014-07-15 23:35,121.04752, 14.39405, 41.42,-52.86, 32.87,121.87,99851.38,  1.00000,  1.00000
BS3-048,2014-07-15 23:35,121.04752, 14.39565, 41.94,-52.86, 32.87,121.87,99851.38,  1.00000,  1.00000
BS3-049,2014-07-15 23:40,121.04754, 14.39732, 41.57,-51.47, 34.68,123.97,99834.02,  1.00000,  1.00000
BS3-050,2014-07-15 23:35,121.04754, 14.39922, 42.32,-52.86, 32.87,121.87,99851.38,  1.00000,  1.00000
BS3-051,2014-07-15 23:30,121.04755, 14.40091, 38.73,-53.95, 30.83,119.75,99875.37,  1.00000,  1.00000
BS3-052,2014-07-15 23:35,121.04755, 14.40260, 45.59,-52.86, 32.87,121.87,99851.38,  1.00000,  1.00000
BS3-053,2014-07-15 23:25,121.04756, 14.40427, 46.10,-54.65, 28.68,117.69,99906.36,  1.00000,  1.00000
BS3-054,2014-07-15 23:35,121.04756, 14.40603, 43.99,-52.86, 32.87,121.87,99851.38,  1.00000,  1.00000
BS3-055,2014-07-15 23:35,121.04757, 14.40779, 43.40,-52.86, 32.87,121.87,99851.38,  1.00000,  1.00000
BS3-056,2014-07-15 23:35,121.04757, 14.40952, 42.62,-52.86, 32.87,121.87,99851.38,  1.00000,  1.00000
BS3-057,2014-07-15 23:35,121.04758, 14.41134, 41.53,-52.57, 31.49,120.92,99920.98,  1.00000,  1.00000
BS3-058,2014-07-15 23:30,121.04757, 14.41283, 39.53,-53.53, 29.56,118.91,99945.12,  1.00000,  1.00000
BS3-059,2014-07-15 23:35,121.04759, 14.41450, 40.89,-52.57, 31.49,120.92,99920.98,  1.00000,  1.00000
BS3-060,2014-07-15 23:35,121.04759, 14.41625, 40.58,-52.57, 31.49,120.92,99920.98,  1.00000,  1.00000
BS3-061,2014-07-15 23:35,121.04760, 14.41797, 39.38,-52.57, 31.49,120.92,99920.98,  1.00000,  1.00000
BS3-062,2014-07-15 23:35,121.04760, 14.41960, 38.34,-52.57, 31.49,120.92,99920.98,  1.00000,  1.00000
BS3-063,2014-07-15 23:35,121.04761, 14.42133, 39.97,-52.57, 31.49,120.92,99920.98,  1.00000,  1.00000
BS3-064,2014-07-15 23:35,121.04761, 14.42296, 41.43,-52.57, 31.49,120.92,99920.98,  1.00000,  1.00000
BS3-065,2014-07-15 23:35,121.04765, 14.42453, 41.27,-52.57, 31.49,120.92,99920.98,  1.00000,  1.00000
BS3-066,2014-07-15 23:35,121.04776, 14.42563, 39.92,-52.57, 31.49,120.92,99920.98,  1.00000,  1.00000
BS3-067,2014-07-15 23:35,121.04793, 14.42726, 41.37,-52.57, 31.49,120.92,99920.98,  1.00000,  1.00000
BS3-068,2014-07-15 23:40,121.04814, 14.42903, 44.32,-51.31, 33.22,122.92,99902.91,  1.00000,  1.00000
BS3-069,2014-07-15 23:40,121.04836, 14.43097, 40.95,-51.09, 31.85,121.94,99968.09,  1.00000,  1.00000
BS3-070,2014-07-15 23:35,121.04852, 14.43230, 42.62,-52.22, 30.20,120.04,99986.57,  1.00000,  1.00000
BS3-071,2014-07-15 23:35,121.04873, 14.43437, 41.79,-52.22, 30.20,120.04,99986.57,  1.00000,  1.00000
BS3-072,2014-07-15 23:35,121.04894, 14.43616, 42.99,-52.22, 30.20,120.04,99986.57,  1.00000,  1.00000
BS3-073,2014-07-15 23:35,121.04915, 14.43795, 41.41,-52.22, 30.20,120.04,99986.57,  1.00000,  1.00000
BS3-074,2014-07-15 23:35,121.04936, 14.43974, 41.84,-52.22, 30.20,120.04,99986.57,  1.00000,  1.00000
BS3-075,2014-07-15 23:35,121.04957, 14.44156, 43.74,-52.22, 30.20,120.04,99986.57,  1.00000,  1.00000
BS3-076,2014-07-15 23:35,121.04975, 14.44311, 42.37,-52.22, 30.20,120.04,99986.57,  1.00000,  1.00000
BS3-077,2014-07-15 23:35,121.04991, 14.44433, 41.59,-52.22, 30.20,120.04,99986.57,  1.00000,  1.00000
BS3-078,2014-07-15 23:35,121.05082, 14.44445, 42.58,-51.05, 31.34,121.55,100020.53,  1.00000,  1.00000
BS3-079,2014-07-16 00:15,121.05182, 14.44461, 44.85,-37.89, 39.86,136.45,99965.57,  1.00000,  1.00000
CB-001,2014-07-16 00:20,120.79210, 13.93267, 54.46, 44.17, 44.43,224.83,97374.38,  1.00000,  1.00000
CB-002,2014-07-16 00:20,120.79493, 13.93333, 57.53, 44.17, 44.43,224.83,97374.38,  1.00000,  1.00000
CB-003,2014-07-16 00:20,120.79793, 13.93403, 57.42, 44.17, 44.43,224.83,97374.38,  1.00000,  1.00000
CB-004,2014-07-16 00:30,120.80082, 13.93542, 55.48, 45.59, 43.98,226.03,97664.55,  1.00000,  1.00000
CB-005,2014-07-16 00:30,120.80287, 13.93640, 55.18, 45.59, 43.98,226.03,97664.55,  1.00000,  1.00000
CB-006,2014-07-16 00:30,120.80513, 13.93877, 54.56, 45.59, 43.98,226.03,97664.55,  1.00000,  1.00000
CB-007,2014-07-15 21:55,120.80743, 13.94118, 40.01,-54.58,-26.34, 64.24,99628.91,  1.00000,  1.00000
CB-008,2014-07-16 00:30,120.80944, 13.94327, 54.51, 45.59, 43.98,226.03,97664.55,  1.00000,  1.00000
CB-009,2014-07-16 00:25,120.81062, 13.94449, 52.68, 42.78, 47.74,221.86,97714.23,  1.05582,  1.00000
CB-010,2014-07-16 00:25,120.81156, 13.94672, 55.16, 42.78, 47.74,221.86,97714.23,  1.02348,  1.00000
CB-011,2014-07-16 00:30,120.81322, 13.95072, 55.60, 40.09, 49.69,218.90,97645.70,  1.06864,  1.00000
CB-012,2014-07-16 00:30,120.81390, 13.95241, 56.26, 40.09, 49.69,218.90,97645.70,  1.03271,  1.00814
CB-013,2014-07-16 00:30,120.81517, 13.95489, 56.49, 40.09, 49.69,218.90,97645.70,  1.06678,  1.00000
CB-014,2014-07-16 00:30,120.81679, 13.95806, 59.26, 40.09, 49.69,218.90,97645.70,  1.02678,  1.00000
CB-015,2014-07-16 00:30,120.81757, 13.95957, 55.10, 40.09, 49.69,218.90,97645.70,  1.03407,  1.00000
CB-016,2014-07-16 00:30,120.81961, 13.96193, 64.00, 40.09, 49.69,218.90,97645.70,  1.15508,  1.01628
CB-017,2014-07-16 00:30,120.82164, 13.96429, 55.52, 40.09, 49.69,218.90,97645.70,  1.08729,  1.00000
CB-018,2014-07-16 00:30,120.82442, 13.96748, 56.23, 40.09, 49.69,218.90,97645.70,  1.11051,  1.00000
CB-019,2014-07-16 00:30,120.82708, 13.97003, 56.03, 36.33, 52.02,214.93,97461.27,  1.02566,  1.00000
CB-020,2014-07-16 00:30,120.82910, 13.97198, 51.91, 36.33, 52.02,214.93,97461.27,  1.01448,  1.00000
CB-021,2014-07-16 00:30,120.83162, 13.97517, 53.29, 34.01, 54.76,211.84,97675.19,  1.06246,  1.00585
CB-022,2014-07-16 00:25,120.83339, 13.97741, 60.03, 33.09, 55.30,210.90,97556.52,  1.15746,  1.04806
CB-023,2014-07-16 00:25,120.83540, 13.97996, 53.52, 33.09, 55.30,210.90,97556.52,  1.04060,  1.03448
CB-024,2014-07-16 00:25,120.83655, 13.98144, 59.29, 33.09, 55.30,210.90,97556.52,  1.05000,  1.00000
CB-025,2014-07-15 22:40,120.83792, 13.98296, 54.08,-61.76, -7.67, 82.92,98137.89,  1.01731,  1.07315
CB-026,2014-07-16 00:30,120.83933, 13.98453, 58.65, 34.01, 54.76,211.84,97675.19,  1.10538,  1.02924
CB-027,2014-07-16 00:25,120.84202, 13.98750, 57.28, 33.09, 55.30,210.90,97556.52,  1.07000,  1.00000
CB-028,2014-07-16 00:30,120.84368, 13.98934, 61.00, 34.01, 54.76,211.84,97675.19,  1.02924,  1.00000
CB-029,2014-07-16 00:30,120.84552, 13.99138, 58.52, 29.73, 56.95,207.57,97520.70,  1.14450,  1.00000
CB-030,2014-07-16 00:30,120.84782, 13.99394, 56.82, 29.73, 56.95,207.57,97520.70,  1.05387,  1.00000
CB-031,2014-07-15 22:45,120.84956, 13.99586, 54.62,-62.39, -8.50, 82.24,97963.72,  1.00000,  1.07448
CB-032,2014-07-15 22:30,120.85116, 13.99763, 59.86,-60.62,  0.21, 90.20,98944.78,  1.07996,  1.00000
CB-033,2014-07-15 22:30,120.85369, 14.00044, 63.23,-60.62,  0.21, 90.20,98944.78,  1.16004,  1.00000
CB-035,2014-07-16 00:25,120.85707, 14.00421, 55.54, 26.48, 59.62,203.95,97641.17,  1.12579,  1.12631
CB-036,2014-07-16 00:30,120.85956, 14.00698, 61.30, 27.62, 59.01,205.08,97750.73,  1.04230,  1.06131
